node_id_from	node_id_to	length
242935877	242935888	14.635475
175859443	175859449	14.636012
314704706	314704876	14.643708
130736190	130737019	14.647118
176124356	176124367	14.651334
242970610	242970620	14.668979
207219963	207219975	14.669898
175176267	175176342	14.677923
175176404	175176412	14.688152
105591392	105591422	14.688498
156978917	156978921	14.689596
130736155	130736782	14.691615
105329155	105329241	14.693064
175859526	175859529	14.702212
315844690	315844741	14.704453
315856321	315856329	14.707973
314704904	314705056	14.711348
722631986	722631987	14.711812
316346680	316346711	14.723795
176124519	204982598	14.735818
130736817	130736824	14.754756
316047952	316048021	14.786596
130737116	130737122	14.787214
105692672	105692708	14.793957
177083418	177083581	14.814219
316046649	316046736	14.815645
316045146	316045305	14.817929
315898352	315898356	14.824055
130737144	130737290	14.836055
175859430	175859460	14.839424
316008815	316008885	14.844431
177083145	177083851	14.851512
175837060	175837068	14.853683
316634970	316635166	14.859721
316046589	316046633	14.873241
177083804	177083875	14.892747
677931353	677931355	14.893079
677931355	677931358	14.893292
175859421	175859423	14.895814
105329129	140152780	14.900961
177083144	177083850	14.908313
314704629	314705151	14.908644
242970627	242970642	14.915773
315898367	315898391	14.916405
316634981	1306306062	14.943872
242970273	242970396	14.948141
316634954	316634968	14.951282
242935881	242935887	14.951490
243256294	243256352	14.952397
130737005	130737167	14.955369
314704620	314704712	14.956768
177084102	177084142	14.960071
130737070	130737213	14.965576
242350098	242350100	14.971550
175834284	175834294	15.000196
175859532	175859574	15.002794
314704753	314704918	15.006673
2827489	2827496	15.009916
314704581	314704671	15.012575
3378542	3378557	15.020715
175859380	175859384	15.022944
130737094	130737130	15.025982
177084354	177084517	15.029792
175859580	175859583	15.030669
175859316	175859327	15.033385
174568244	174568246	15.034369
314704462	314705070	15.037351
130736685	130736720	15.039259
177083556	177084064	15.040032
316008800	316008877	15.040288
175859570	175859605	15.045510
245018956	245019015	15.053191
315260813	315260825	15.057767
175834202	175834316	15.058299
130736672	130736711	15.058674
242922557	242922558	15.071493
315898344	315898348	15.071755
175837087	175837096	15.073347
130736829	130736856	15.093043
177084091	177084131	15.094410
1304966959	1304966960	15.094632
177083522	177083600	15.095575
242199302	242199304	15.097072
243254242	243254245	15.097781
245018978	245019018	15.112012
316008819	316008890	15.119553
316047998	316048076	15.128483
175859432	175859461	15.132610
177084176	177084202	15.140457
177083674	177084569	15.149999
177083375	177083525	15.155269
130736266	130736330	15.160859
314704553	314704718	15.168828
105692672	105692676	15.175891
242970304	242970313	15.182619
130737197	130737267	15.184267
315856324	315856325	15.185298
174874663	174874667	15.186114
316046750	316046762	15.189622
315268636	315268637	15.193165
242960575	242960604	15.193220
202564634	202564636	15.207484
130736395	130736464	15.209640
315844732	315844761	15.211725
242201796	242201799	15.219010
130737327	130737328	15.226144
176124545	176124551	15.232973
242922547	242922548	15.239698
245018937	245019022	15.241281
242922542	242922543	15.243096
175859595	175859596	15.245804
242960608	242960610	15.254535
175366573	175366576	15.257855
191402750	209587712	15.261432
175176307	175176334	15.262476
316346656	316346719	15.265187
242970278	242970281	15.266233
177083769	177503758	15.269439
314704838	314704993	15.273596
130737331	130737369	15.276058
175859519	175859524	15.279715
316008781	316008854	15.286067
245018998	258488765	15.286837
176124668	176124675	15.295874
315268534	315268540	15.297980
105305294	105305320	15.300935
130737130	130737253	15.310362
130736924	130736930	15.316434
362993103	722624783	15.319326
175859400	175859403	15.323680
130736803	130737089	15.325782
316047934	316047946	15.329586
315856271	315856279	15.329758
175176335	175176348	15.330231
175366609	175366611	15.330562
176124421	176124426	15.334901
174874509	174874524	15.335459
316634948	316635206	15.346816
315882702	315882765	15.348131
203385819	203385834	15.348675
315844837	315844867	15.359769
176124519	176124520	15.364313
242970352	242970396	15.366964
316008803	316008846	15.367949
175859444	175859450	15.371740
177083221	177084557	15.372467
3820356	150568140	15.375952
316635080	1306306062	15.381202
130736316	130736394	15.381276
316045082	316045209	15.384127
316046630	316046659	15.386849
177083250	177083343	15.399817
177083562	177084069	15.402013
179425736	179425738	15.403071
177083772	177083806	15.405627
108662235	146876407	15.414709
242350111	242350114	15.415729
315844813	315844827	15.416077
258488756	258488765	15.416145
175837156	175837168	15.418362
175366608	175366610	15.419083
130831578	130831583	15.426617
207219966	207219969	15.427345
175834147	175834168	15.428670
191402681	191402690	15.431165
147054047	147054107	15.455061
243390153	314692739	15.456404
315882726	315882730	15.456812
316634956	345835303	15.458588
174568243	1153032858	15.460836
315268628	315268656	15.462210
175859631	175859632	15.465925
207219983	207219984	15.493852
176124272	176124274	15.497642
176124408	176124413	15.502068
316635274	316635275	15.503908
177083382	177083385	15.508451
242915678	242915680	15.518176
174874469	174874472	15.531461
314705040	314705130	15.534677
316008811	316008881	15.535994
242350117	242350119	15.538057
242970239	242970315	15.552207
176124660	176124664	15.552700
242201829	242201833	15.569527
130736375	130736446	15.582212
105692728	1306110710	15.594437
316045153	316045429	15.599112
175859553	175859591	15.602945
242350104	242350106	15.621670
678132988	678132989	15.622309
156582278	156582283	15.626733
242960571	242960578	15.633059
176124317	176124318	15.643121
245019008	245019050	15.643362
174568234	174568452	15.644837
316015914	316015931	15.649573
175834342	175834356	15.649839
242922537	242922538	15.651426
147573280	147573285	15.652020
207217236	207217246	15.655392
242350134	242350136	15.659975
242917511	242917514	15.661323
176124617	1303416632	15.661827
175834322	175834325	15.661930
179425741	179425743	15.667197
177084110	177084151	15.676687
316046624	316046721	15.678635
242199327	242199329	15.683450
176124295	176124297	15.685525
177083684	177083956	15.696569
105329158	376941538	15.699266
316047914	316047932	15.699821
175859491	175859493	15.701812
177083827	177083893	15.701882
243256312	243256324	15.703252
177084375	177084535	15.703772
174874617	174874648	15.706209
175859286	175859534	15.706955
174874446	174874468	15.716681
3346069	3346072	15.716990
315844739	315844769	15.720088
316015929	316015939	15.720263
175859492	175859494	15.721903
130737328	130737368	15.722661
316046601	316046619	15.726850
315268591	315268627	15.729933
316047990	316048074	15.730884
245018973	245019037	15.730926
243256291	243256344	15.734378
130736874	130736880	15.736233
176124647	176124691	15.737879
243254239	243254245	15.739820
174874683	174874685	15.743135
245018968	245019041	15.747268
2990840	2990846	15.749571
316635010	316635194	15.750247
177083861	177084249	15.755228
242960507	242960581	15.762879
176124599	176124603	15.764087
177083183	177084520	15.766950
243380211	1306304318	15.768980
315260808	315260820	15.769614
242915684	242915685	15.769739
175859428	175859435	15.781567
175834176	175834188	15.782153
175176414	175176417	15.786299
174568236	174568452	15.787246
242922555	242922556	15.788104
245018960	245019048	15.794214
242350111	242350150	15.794497
177083660	177083747	15.795777
175859639	175859648	15.797483
315844742	315844772	15.801512
242917517	242917519	15.802497
242350122	242350126	15.805067
177083190	177084526	15.806039
130736652	130736692	15.811253
130738665	130738708	15.812354
242970346	242970366	15.812481
242970746	242970757	15.813833
316046707	316046737	15.821527
242199244	242350113	15.823541
316008799	316008873	15.824453
175176240	175176259	15.824917
316045125	316045397	15.825220
176124449	176124451	15.825990
316046573	316046735	15.832753
177083465	177084453	15.835863
130737100	130737105	15.841180
242970738	242970751	15.843489
242350098	242350147	15.850355
176124656	176124659	15.850947
316635063	316635080	15.851916
316634978	316635197	15.864666
314705026	314705119	15.866532
316046605	316046771	15.871783
316634941	316635198	15.877762
315844710	315844738	15.888916
175176304	175176307	15.892000
149770968	149770971	15.894587
4616042	4616043	15.911755
2815454	157435270	15.912976
175859619	175859624	15.913434
1306094507	1306094508	15.917447
316635273	316635275	15.918400
130736214	130736286	15.921180
